Ticker,TD.TO,TD.TO,TD.TO,TD.TO,TD.TO,RY.TO,RY.TO,RY.TO,RY.TO,RY.TO,BMO.TO,BMO.TO,BMO.TO,BMO.TO,BMO.TO,CM.TO,CM.TO,CM.TO,CM.TO,CM.TO,BNS.TO,BNS.TO,BNS.TO,BNS.TO,BNS.TO
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-02,71.82474459098725,71.83407810883479,71.23685399619133,71.38616180419922,18507000,164.74915138252402,165.25160764755037,163.1374983928639,163.317626953125,4303700,131.43356881360535,132.01355579509263,130.56358834137444,130.76937866210938,2036100,86.21123838019227,86.51439848977556,85.59544237475232,85.66175842285156,4485100,71.0358580016519,71.36561881701091,70.55037175398998,70.76105499267578,9369600
2025-01-03,71.63810341905766,72.62724976010678,71.46080931215204,72.5805892944336,17948300,163.8769837289508,164.91033621939627,162.88154619325312,164.87242126464844,2992000,131.0874562290779,131.62066687151255,129.60004762049488,129.81521606445312,1156500,85.96491447501533,86.44807836145215,85.3585942844662,85.86070251464844,2589600,70.54121506617203,71.50301159717846,70.54121506617203,70.65113067626953,10726900
2025-01-06,73.08449242227654,73.26179364856966,72.49660899948685,72.5805892944336,22054800,165.1188730464051,166.2375592862308,164.15187552822232,165.19471740722656,3381100,130.563597827102,130.88165430624167,128.94522391578803,129.04812622070312,1750400,85.97439153325054,86.36281925089526,85.51017921159568,85.80386352539062,5476800,71.03586429170414,71.19158274926471,70.42213844911767,70.46794128417969,7128800
2025-01-07,72.61790366943418,73.44840855502652,72.55258330043432,73.2337875366211,22302900,166.09539427224198,167.24252067471107,165.11892134799996,165.22320556640625,3295900,129.5158605116603,130.33907894549336,129.1790906318326,130.1426239013672,1758100,86.27755918077122,86.47650733602774,84.93228657213709,85.04596710205078,4265700,70.60725718598039,70.67227279599942,69.33480780615503,69.39053344726562,7238500
2025-01-08,73.40176526308674,73.48574555498656,72.52459979984553,72.71122741699219,23749600,165.04306404797256,166.1333106943173,164.24671978747028,165.91525268554688,5609800,130.59165312092915,133.28579774505945,130.54487675341738,132.4158172607422,2985900,85.60490313773016,86.32491098209735,85.09331918735657,86.03121948242188,6830500,69.21405691257824,69.34409521398365,68.69393205163571,69.03759002685547,10396800
2025-01-09,72.272642843785,72.96318067228388,72.26331644673637,72.76721954345703,5652300,165.7920173181668,166.21862927924315,165.33695105823875,165.4033203125,1283400,132.30355614394722,132.83678106035597,131.93872330214157,132.49066162109375,571000,86.16386826432657,86.7322998046875,86.06913208356883,86.7322998046875,1804300,68.95399024926783,69.48340504627681,68.95399024926783,69.30693817138672,5378300
2025-01-10,72.76721517320186,74.0630852401841,72.19968341840183,73.96849060058594,20880100,165.04307438810847,165.35592703844262,161.54483003036094,162.03781127929688,3929500,132.07906029525392,132.24743810576555,131.2558418239224,131.5738983154297,3610000,86.02175876755945,86.02175876755945,84.73332660351305,84.87542724609375,4731700,69.19548779477032,69.21406064673323,68.48959895528662,68.82396697998047,8916900
2025-01-13,73.60905682923193,74.49819449821719,73.58068132346567,73.94957733154297,14112700,161.3551863279696,162.50231242829207,160.89065949492561,161.93348693847656,3649400,130.46067810058594,131.33065851984642,130.15197122706513,130.46067810058594,3621000,84.32596516522939,84.49649318567312,83.71964492096444,84.36386108398438,3845900,68.47101653698903,68.54532210679952,67.33788139897099,67.61652374267578,4293700
2025-01-14,74.48874171503779,74.82926225448837,74.2049721933094,74.3184814453125,8787200,162.3980522525451,162.45493191677133,160.28394275907115,161.52586364746094,4242700,130.88166057523438,131.63938927765557,130.17069397116921,131.34939575195312,1588600,84.46806539143462,84.6291176106036,83.46384170528974,83.97542572021484,3317900,67.61651118161132,68.40598822722215,67.58864128348289,68.36883544921875,3388400
2025-01-15,74.78196043547496,75.29274121396104,74.63062199178924,75.0184326171875,13619700,162.44545380791206,162.9005055791903,161.80078387158582,162.65402221679688,3359900,132.83676038633834,133.8283564546554,132.63095581282255,132.93031311035156,2212100,84.29753703347887,84.9038572202053,84.18384928800265,84.75227355957031,4114300,69.29765327228942,69.46483727758277,68.56390164273363,68.89826965332031,3155500
2025-01-16,75.18868391389432,75.69000372471628,74.97113357392428,75.29273223876953,9507200,163.24180327357936,163.9623031400924,162.39805448898872,163.87698364257812,5604200,132.93969971301678,133.75355439695147,132.19132053482096,133.62258911132812,2518500,84.79016849718073,85.6428085086555,84.75227258245889,85.55754089355469,3762000,68.91683590444663,69.13046264648438,68.56389507648117,69.13046264648438,3528800
2025-01-17,75.95485471089069,79.19925277984237,75.86026008107683,78.6317138671875,12473500,164.72074918658606,165.31801466162537,164.22776792995302,165.22320556640625,4688000,134.03418269175918,134.50191783914084,133.40741930716501,134.0716094970703,1560100,85.78491005845069,86.1164902529418,85.24490596230626,85.88912200927734,2642500,69.3905251278156,69.42767791282496,68.23881713720179,68.33169555664062,4470500
2025-01-20,78.50875712939865,78.50875712939865,77.26964532014874,77.90338897705078,2363200,165.29902218809633,165.63083949979898,164.52162824220306,164.75863647460938,3348300,134.22127049137868,135.10996439403345,134.20257136334132,134.54869079589844,710500,85.87965408630068,86.14491826617758,85.70912608096455,85.86070251464844,843000,68.36885172738582,68.80538811515245,68.27597330334748,68.6010513305664,1955900
2025-01-21,77.98851456342169,78.30065954292145,77.37369272790448,77.66691589355469,10200100,164.49320038478885,166.52199042322607,164.49320038478885,166.37979125976562,8277200,134.5767660216445,134.9415988896177,134.14644337714398,134.5112762451172,3166300,85.95544728366376,86.32492342978169,85.8891312376402,86.18281555175781,5015300,68.76823211152423,69.15832572593948,68.49887973409393,69.04686737060547,3026500
